Avoidance,Self-assertion,Distraction,Reappraisal,Suppression
0.47467532651579386,0.8499767877275346,0.6136749232569908,0.5787000235573366,0.35555555555555557
0.4675889124462255,0.8316739553264696,0.609192584026964,0.5676730700324029,0.35364064334327155
0.45656195892129176,0.8096399597571442,0.6020559083837509,0.5536406433432716,0.3480589839889621
0.44252953223216046,0.785786437626905,0.5926962162352065,0.5375672049836051,0.33925787210461805
0.426456093872494,0.7614744420752169,0.5816057905338893,0.5203036951380752,0.3278640450004206
0.40919258402696407,0.7375672049836051,0.56927349264887,0.5025253169416734,0.3145626072212692
0.39141420583056225,0.7145626072212692,0.5561403058860154,0.48472754825742265,0.3
0.37361643714631154,0.6927169016450005,0.5425765730649545,0.46725141699712663,0.28472754825742264
0.35614030588601553,0.6721359549995793,0.5288763181401559,0.4503174725987149,0.2691816067802715
0.33274223733479547,0.6814560089181301,0.5125913016812941,0.4616399415807225,0.21854236445696817
0.3505288304696114,0.7038073273463177,0.5273652130866541,0.4803846037599811,0.2340578300578996
0.36927349264887,0.7278640450004206,0.5425765730649545,0.5,0.2503174725987149
0.3888888888888889,0.7536406433432716,0.5580704956691604,0.5203036951380752,0.2672514169971266
0.40919258402696407,0.7810203018900044,0.5736164371463115,0.5409709377719392,0.28472754825742264
0.42985982666082806,0.8096399597571444,0.5888888888888889,0.5614744420752169,0.30252531694167334
0.4503633309641058,0.8386979044864147,0.6034514961101581,0.5810203018900045,0.32030369513807516
0.4699091907788934,0.8666666666666667,0.6167529338893095,0.5985083759092057,0.3375672049836051
0.4873972647980946,0.8909830056250527,0.6281467609935071,0.612574113277207,0.35364064334327155
0.5014630021660959,0.908059563178595,0.636947872877851,0.621783725349489,0.36767307003240285
0.5106726142383778,0.9142857142857144,0.6425295322321605,0.625,0.3787000235573366
0.5138888888888888,0.908059563178595,0.6444444444444445,0.621783725349489,0.38578643762690495
0.5106726142383778,0.8909830056250527,0.6425295322321605,0.612574113277207,0.38823529411764707
0.5014630021660959,0.8666666666666667,0.636947872877851,0.5985083759092057,0.38578643762690495
0.4873972647980946,0.8386979044864147,0.6281467609935071,0.5810203018900045,0.3787000235573366
0.4699091907788934,0.8096399597571444,0.6167529338893095,0.5614744420752169,0.36767307003240285
0.4503633309641058,0.7810203018900044,0.6034514961101581,0.5409709377719392,0.35364064334327155
0.42985982666082817,0.7536406433432716,0.5888888888888889,0.5203036951380752,0.3375672049836051
0.40919258402696407,0.7278640450004206,0.5736164371463115,0.5,0.32030369513807516
0.388888888888889,0.7038073273463177,0.5580704956691606,0.4803846037599811,0.30252531694167334
0.36927349264887,0.6814560089181301,0.5425765730649545,0.4616399415807225,0.28472754825742264
0.3417249701051002,0.6892294543450558,0.5229467189467885,0.4721359549995794,0.22705098312484223
0.3610248438884683,0.713167019494862,0.5392063614876038,0.4927169016450004,0.24385334844590656
0.3816057905338893,0.7392578721046181,0.5561403058860154,0.5145626072212692,0.2616399415807225
0.4034514961101581,0.7676730700324028,0.5736164371463115,0.5375672049836051,0.2803846037599811
0.426456093872494,0.7985083759092055,0.5914142058305623,0.5614744420752169,0.3
0.4503633309641058,0.8316739553264696,0.6091925840269641,0.585786437626905,0.32030369513807516
0.47467532651579386,0.8666666666666667,0.626456093872494,0.6096399597571442,0.34097093777193915
0.49852884864603314,0.9021169893756968,0.6425295322321605,0.6316739553264696,0.3614744420752169
0.5205628442153585,0.934994106268507,0.6565619589212918,0.6499767877275346,0.3810203018900044
0.5388656766164235,0.9597469266479579,0.6675889124462255,0.6622946603252993,0.39850837590920557
0.5511835492141881,0.9692307692307693,0.6746753265157939,0.6666666666666666,0.4125741132772068
0.5555555555555555,0.9597469266479579,0.677124183006536,0.6622946603252993,0.4217837253494889
0.5511835492141881,0.934994106268507,0.6746753265157939,0.6499767877275346,0.425
0.5388656766164235,0.9021169893756968,0.6675889124462255,0.6316739553264696,0.4217837253494889
0.5205628442153585,0.8666666666666667,0.6565619589212918,0.6096399597571442,0.4125741132772068
0.49852884864603314,0.8316739553264696,0.6425295322321605,0.585786437626905,0.39850837590920557
0.47467532651579386,0.7985083759092055,0.626456093872494,0.5614744420752168,0.3810203018900044
0.4503633309641058,0.7676730700324028,0.6091925840269641,0.5375672049836051,0.3614744420752169
0.426456093872494,0.7392578721046181,0.5914142058305623,0.5145626072212692,0.34097093777193915
0.40345149611015824,0.713167019494862,0.5736164371463115,0.49271690164500054,0.32030369513807516
0.38160579053388943,0.6892294543450558,0.5561403058860155,0.4721359549995794,0.3
0.34961859448878757,0.6950975679639241,0.5327422373347954,0.48145600891813006,0.2347826086956522
0.37034489780701896,0.720303695138075,0.5505288304696114,0.5038073273463176,0.2528360812162113
0.3926962162352065,0.7480589839889622,0.56927349264887,0.5278640450004206,0.2721359549995794
0.4167529338893095,0.7787000235573367,0.5888888888888889,0.5536406433432716,0.2927169016450005
0.44252953223216046,0.8125741132772069,0.6091925840269641,0.5810203018900044,0.3145626072212692
0.4699091907788933,0.8499767877275346,0.6298598266608281,0.6096399597571442,0.3375672049836051
0.49852884864603314,0.8909830056250527,0.6503633309641058,0.6386979044864146,0.3614744420752168
0.5275867933753035,0.934994106268507,0.6699091907788933,0.6666666666666666,0.38578643762690495
0.5555555555555555,0.9795187907884577,0.6873972647980945,0.6909830056250527,0.40963995975714435
0.5798718945139415,1.0172560023684432,0.7014630021660957,0.708059563178595,0.4316739553264696
0.5969484520674838,1.0333333333333334,0.7106726142383778,0.7142857142857143,0.44997678772753463
0.6031746031746031,1.0172560023684432,0.7138888888888889,0.708059563178595,0.46229466032529937
0.5969484520674838,0.9795187907884577,0.7106726142383778,0.6909830056250527,0.4666666666666666
0.5798718945139415,0.934994106268507,0.7014630021660957,0.6666666666666666,0.46229466032529926
0.5555555555555555,0.8909830056250527,0.6873972647980946,0.6386979044864147,0.44997678772753463
0.5275867933753036,0.8499767877275346,0.6699091907788933,0.6096399597571442,0.4316739553264696
0.49852884864603314,0.8125741132772069,0.6503633309641058,0.5810203018900044,0.40963995975714423
0.4699091907788934,0.7787000235573367,0.6298598266608281,0.5536406433432716,0.38578643762690495
0.44252953223216046,0.7480589839889622,0.6091925840269641,0.5278640450004206,0.3614744420752168
0.4167529338893095,0.7203036951380752,0.588888888888889,0.5038073273463176,0.3375672049836051
0.3926962162352065,0.6950975679639241,0.56927349264887,0.48145600891813006,0.3145626072212692
0.3561403058860154,0.6987562112089027,0.5417249701051002,0.48922945434505577,0.24151844011225282
0.37811834323394466,0.7247860343681019,0.5610248438884683,0.513167019494862,0.26072970559989866
0.4020559083837509,0.7536406433432716,0.5816057905338894,0.5392578721046181,0.28145600891813005
0.42814676099350707,0.785786437626905,0.6034514961101582,0.5676730700324029,0.3038073273463176
0.45656195892129176,0.8217837253494888,0.626456093872494,0.5985083759092056,0.3278640450004206
0.4873972647980945,0.8622946603252994,0.6503633309641058,0.6316739553264696,0.35364064334327155
0.5205628442153585,0.908059563178595,0.6746753265157939,0.6666666666666666,0.3810203018900044
0.5555555555555555,0.9597469266479579,0.6985288486460333,0.7021169893756969,0.40963995975714435
0.5910058782645858,1.0172560023684432,0.7205628442153585,0.7349941062685069,0.4386979044864147
0.6238829951573958,1.0761006569007046,0.7388656766164236,0.759746926647958,0.4666666666666666
0.6486358155368468,1.1090909090909091,0.7511835492141883,0.7692307692307694,0.49098300562505265
0.6581196581196582,1.0761006569007046,0.7555555555555555,0.7597469266479578,0.5080595631785951
0.6486358155368468,1.0172560023684432,0.7511835492141883,0.7349941062685069,0.5142857142857142
0.6238829951573958,0.9597469266479579,0.7388656766164236,0.7021169893756969,0.5080595631785951
0.5910058782645858,0.908059563178595,0.7205628442153585,0.6666666666666666,0.49098300562505265
0.5555555555555555,0.8622946603252994,0.6985288486460333,0.6316739553264696,0.4666666666666666
0.5205628442153585,0.8217837253494888,0.6746753265157939,0.5985083759092056,0.4386979044864147
0.4873972647980946,0.785786437626905,0.6503633309641058,0.5676730700324029,0.40963995975714435
0.45656195892129176,0.7536406433432716,0.626456093872494,0.5392578721046181,0.3810203018900044
0.42814676099350707,0.7247860343681019,0.6034514961101582,0.5131670194948621,0.35364064334327155
0.402055908383751,0.6987562112089027,0.5816057905338895,0.48922945434505577,0.3278640450004206
0.3610248438884683,0.7,0.5496185944887876,0.49509756796392407,0.24704092016093993
0.38398645685281296,0.7263157894736842,0.5703448978070189,0.5203036951380751,0.2672514169971265
